origin,year,refugees
Myanmar,2003,151384
Myanmar,2004,161013
Myanmar,2005,164864
Myanmar,2006,202826
Myanmar,2007,191313
Myanmar,2008,184413
Myanmar,2009,406669
Myanmar,2010,415670
Myanmar,2011,414626
Myanmar,2012,415371
Myanmar,2013,479606
Myanmar,2014,479006
Myanmar,2015,451805
Myanmar,2016,490289
Myanmar,2017,1156732
Mozambique,1976,580
Mozambique,1977,120
Mozambique,1978,130
Mozambique,1979,370
Mozambique,1980,120
Mozambique,1981,5170
Mozambique,1982,20200
Mozambique,1983,50200
Mozambique,1984,51200
Mozambique,1985,72250
Mozambique,1986,193550
Mozambique,1987,635000
Mozambique,1988,921238
Mozambique,1989,1120758
Mozambique,1990,1247992
Mozambique,1991,1316636
Mozambique,1992,1445474
Mozambique,1993,1172550
Mozambique,1994,234497
Mozambique,1995,125562
Mozambique,1996,34657
Mozambique,1997,33652
Mozambique,1998,59
Mozambique,1999,35
Mozambique,2000,30
Mozambique,2001,46
Mozambique,2002,130
Mozambique,2003,111
Mozambique,2004,104
Mozambique,2005,104
Mozambique,2006,231
Mozambique,2007,222
Mozambique,2008,208
Mozambique,2009,136
Mozambique,2010,131
Mozambique,2011,155
Mozambique,2012,160
Mozambique,2013,56
Mozambique,2014,58
Mozambique,2015,57
Mozambique,2016,50
Mozambique,2017,38
Liberia,1976,
Liberia,1977,
Liberia,1978,
Liberia,1979,
Liberia,1980,
Liberia,1981,
Liberia,1982,
Liberia,1983,
Liberia,1984,
Liberia,1985,
Liberia,1986,
Liberia,1987,
Liberia,1988,30
Liberia,1989,51
Liberia,1990,735689
Liberia,1991,673435
Liberia,1992,520915
Liberia,1993,704051
Liberia,1994,797835
Liberia,1995,744637
Liberia,1996,784008
Liberia,1997,493340
Liberia,1998,365398
Liberia,1999,294694
Liberia,2000,266930
Liberia,2001,244608
Liberia,2002,275422
Liberia,2003,353344
Liberia,2004,335470
Liberia,2005,231139
Liberia,2006,160548
Liberia,2007,91540
Liberia,2008,75213
Liberia,2009,71599
Liberia,2010,70129
Liberia,2011,66780
Liberia,2012,23428
Liberia,2013,17558
Liberia,2014,13572
Liberia,2015,9991
Liberia,2016,6573
Liberia,2017,5989
Iraq,1976,
Iraq,1977,
Iraq,1978,560
Iraq,1979,31000
Iraq,1980,31098
Iraq,1981,66589
Iraq,1982,103766
Iraq,1983,103721
Iraq,1984,101724
Iraq,1985,401503
Iraq,1986,400745
Iraq,1987,410818
Iraq,1988,508468
Iraq,1989,507986
Iraq,1990,1133805
Iraq,1991,1321853
Iraq,1992,1343824
Iraq,1993,771077
Iraq,1994,749834
Iraq,1995,718719
Iraq,1996,714730
Iraq,1997,707338
Iraq,1998,675030
Iraq,1999,642886
Iraq,2000,526179
Iraq,2001,530511
Iraq,2002,422512
Iraq,2003,368580
Iraq,2004,311890
Iraq,2005,262299
Iraq,2006,1450905
Iraq,2007,2309245
Iraq,2008,1903519
Iraq,2009,1785212
Iraq,2010,1683579
Iraq,2011,1428308
Iraq,2012,746206
Iraq,2013,401466
Iraq,2014,369954
Iraq,2015,264094
Iraq,2016,316030
Iraq,2017,362506
Ethiopia,1976,105700
Ethiopia,1977,655350
Ethiopia,1978,887670
Ethiopia,1979,1623870
Ethiopia,1980,2567998
Ethiopia,1981,1293266
Ethiopia,1982,1264915
Ethiopia,1983,1281917
Ethiopia,1984,1476134
Ethiopia,1985,1749309
Ethiopia,1986,1534548
Ethiopia,1987,1487663
Ethiopia,1988,1513307
Ethiopia,1989,1474919
Ethiopia,1990,1345928
Ethiopia,1991,251241
Ethiopia,1992,313129
Ethiopia,1993,251828
Ethiopia,1994,226436
Ethiopia,1995,100987
Ethiopia,1996,96270
Ethiopia,1997,84401
Ethiopia,1998,70680
Ethiopia,1999,71055
Ethiopia,2000,66410
Ethiopia,2001,58997
Ethiopia,2002,61240
Ethiopia,2003,62677
Ethiopia,2004,63150
Ethiopia,2005,65461
Ethiopia,2006,74026
Ethiopia,2007,59858
Ethiopia,2008,63878
Ethiopia,2009,62889
Ethiopia,2010,68848
Ethiopia,2011,70610
Ethiopia,2012,74968
Ethiopia,2013,77122
Ethiopia,2014,86870
Ethiopia,2015,85839
Ethiopia,2016,83966
Ethiopia,2017,87388
Eritrea,1976,
Eritrea,1977,
Eritrea,1978,
Eritrea,1979,400
Eritrea,1980,542
Eritrea,1981,1542
Eritrea,1982,1585
Eritrea,1983,1385
Eritrea,1984,1385
Eritrea,1985,1385
Eritrea,1986,177
Eritrea,1987,167
Eritrea,1988,133
Eritrea,1989,43
Eritrea,1990,43
Eritrea,1991,500633
Eritrea,1992,503200
Eritrea,1993,427213
Eritrea,1994,422433
Eritrea,1995,286712
Eritrea,1996,332225
Eritrea,1997,319077
Eritrea,1998,346781
Eritrea,1999,347138
Eritrea,2000,376851
Eritrea,2001,333229
Eritrea,2002,318176
Eritrea,2003,124121
Eritrea,2004,131123
Eritrea,2005,144066
Eritrea,2006,193745
Eritrea,2007,208748
Eritrea,2008,186398
Eritrea,2009,209168
Eritrea,2010,222460
Eritrea,2011,251954
Eritrea,2012,285371
Eritrea,2013,308236
Eritrea,2014,363092
Eritrea,2015,407449
Eritrea,2016,459430
Eritrea,2017,486169
Dem. Rep. of the Congo,1976,44070
Dem. Rep. of the Congo,1977,264940
Dem. Rep. of the Congo,1978,151560
Dem. Rep. of the Congo,1979,70450
Dem. Rep. of the Congo,1980,116750
Dem. Rep. of the Congo,1981,118970
Dem. Rep. of the Congo,1982,92455
Dem. Rep. of the Congo,1983,101571
Dem. Rep. of the Congo,1984,94512
Dem. Rep. of the Congo,1985,86418
Dem. Rep. of the Congo,1986,96619
Dem. Rep. of the Congo,1987,69428
Dem. Rep. of the Congo,1988,103537
Dem. Rep. of the Congo,1989,100786
Dem. Rep. of the Congo,1990,67423
Dem. Rep. of the Congo,1991,65816
Dem. Rep. of the Congo,1992,81269
Dem. Rep. of the Congo,1993,74826
Dem. Rep. of the Congo,1994,73286
Dem. Rep. of the Congo,1995,89738
Dem. Rep. of the Congo,1996,158794
Dem. Rep. of the Congo,1997,173995
Dem. Rep. of the Congo,1998,158833
Dem. Rep. of the Congo,1999,255950
Dem. Rep. of the Congo,2000,371713
Dem. Rep. of the Congo,2001,392146
Dem. Rep. of the Congo,2002,421362
Dem. Rep. of the Congo,2003,453465
Dem. Rep. of the Congo,2004,462191
Dem. Rep. of the Congo,2005,430929
Dem. Rep. of the Congo,2006,401914
Dem. Rep. of the Congo,2007,370374
Dem. Rep. of the Congo,2008,367995
Dem. Rep. of the Congo,2009,455852
Dem. Rep. of the Congo,2010,476693
Dem. Rep. of the Congo,2011,491481
Dem. Rep. of the Congo,2012,509290
Dem. Rep. of the Congo,2013,499563
Dem. Rep. of the Congo,2014,516771
Dem. Rep. of the Congo,2015,541496
Dem. Rep. of the Congo,2016,537473
Dem. Rep. of the Congo,2017,620775
Burundi,1976,152320
Burundi,1977,153550
Burundi,1978,148180
Burundi,1979,151680
Burundi,1980,169772
Burundi,1981,182952
Burundi,1982,176272
Burundi,1983,176552
Burundi,1984,182912
Burundi,1985,199812
Burundi,1986,210621
Burundi,1987,186911
Burundi,1988,190154
Burundi,1989,191443
Burundi,1990,191622
Burundi,1991,223946
Burundi,1992,184135
Burundi,1993,871382
Burundi,1994,389706
Burundi,1995,350582
Burundi,1996,428680
Burundi,1997,519123
Burundi,1998,502568
Burundi,1999,527449
Burundi,2000,568084
Burundi,2001,553999
Burundi,2002,574557
Burundi,2003,531637
Burundi,2004,485767
Burundi,2005,438706
Burundi,2006,396541
Burundi,2007,375727
Burundi,2008,281592
Burundi,2009,94239
Burundi,2010,84064
Burundi,2011,101288
Burundi,2012,73363
Burundi,2013,72647
Burundi,2014,72493
Burundi,2015,292764
Burundi,2016,408085
Burundi,2017,439280
Bosnia and Herzegovina,1976,
Bosnia and Herzegovina,1977,
Bosnia and Herzegovina,1978,
Bosnia and Herzegovina,1979,
Bosnia and Herzegovina,1980,
Bosnia and Herzegovina,1981,
Bosnia and Herzegovina,1982,
Bosnia and Herzegovina,1983,
Bosnia and Herzegovina,1984,
Bosnia and Herzegovina,1985,
Bosnia and Herzegovina,1986,
Bosnia and Herzegovina,1987,
Bosnia and Herzegovina,1988,
Bosnia and Herzegovina,1989,
Bosnia and Herzegovina,1990,
Bosnia and Herzegovina,1991,
Bosnia and Herzegovina,1992,437501
Bosnia and Herzegovina,1993,618427
Bosnia and Herzegovina,1994,776084
Bosnia and Herzegovina,1995,769753
Bosnia and Herzegovina,1996,993868
Bosnia and Herzegovina,1997,849241
Bosnia and Herzegovina,1998,640075
Bosnia and Herzegovina,1999,598193
Bosnia and Herzegovina,2000,504981
Bosnia and Herzegovina,2001,447321
Bosnia and Herzegovina,2002,406448
Bosnia and Herzegovina,2003,300006
Bosnia and Herzegovina,2004,228807
Bosnia and Herzegovina,2005,109930
Bosnia and Herzegovina,2006,199946
Bosnia and Herzegovina,2007,78273
Bosnia and Herzegovina,2008,74366
Bosnia and Herzegovina,2009,70018
Bosnia and Herzegovina,2010,63004
Bosnia and Herzegovina,2011,58578
Bosnia and Herzegovina,2012,51822
Bosnia and Herzegovina,2013,26790
Bosnia and Herzegovina,2014,21888
Bosnia and Herzegovina,2015,18769
Bosnia and Herzegovina,2016,18199
Bosnia and Herzegovina,2017,17669
Angola,1976,499190
Angola,1977,529830
Angola,1978,646110
Angola,1979,652980
Angola,1980,449030
Angola,1981,457060
Angola,1982,465891
Angola,1983,298110
Angola,1984,357821
Angola,1985,317392
Angola,1986,355412
Angola,1987,391733
Angola,1988,407566
Angola,1989,408692
Angola,1990,407760
Angola,1991,381636
Angola,1992,300492
Angola,1993,323831
Angola,1994,282577
Angola,1995,246657
Angola,1996,249687
Angola,1997,267696
Angola,1998,319430
Angola,1999,353478
Angola,2000,433760
Angola,2001,470625
Angola,2002,435421
Angola,2003,329583
Angola,2004,228851
Angola,2005,215827
Angola,2006,206501
Angola,2007,186155
Angola,2008,171393
Angola,2009,141021
Angola,2010,134858
Angola,2011,128664
Angola,2012,19258
Angola,2013,10286
Angola,2014,9484
Angola,2015,11869
Angola,2016,8404
Angola,2017,8267
Afghanistan,1976,
Afghanistan,1977,
Afghanistan,1978,
Afghanistan,1979,500000
Afghanistan,1980,1734921
Afghanistan,1981,3879984
Afghanistan,1982,4488214
Afghanistan,1983,4712735
Afghanistan,1984,4417651
Afghanistan,1985,4653193
Afghanistan,1986,5094283
Afghanistan,1987,5511740
Afghanistan,1988,5622982
Afghanistan,1989,5643989
Afghanistan,1990,6339095
Afghanistan,1991,6306301
Afghanistan,1992,4552153
Afghanistan,1993,3374576
Afghanistan,1994,2731169
Afghanistan,1995,2679133
Afghanistan,1996,2674236
Afghanistan,1997,2676674
Afghanistan,1998,2667115
Afghanistan,1999,2601691
Afghanistan,2000,3587336
Afghanistan,2001,3809767
Afghanistan,2002,2510294
Afghanistan,2003,2136043
Afghanistan,2004,2414468
Afghanistan,2005,2166149
Afghanistan,2006,2107519
Afghanistan,2007,3057661
Afghanistan,2008,2833128
Afghanistan,2009,2887123
Afghanistan,2010,3054709
Afghanistan,2011,2664436
Afghanistan,2012,2586152
Afghanistan,2013,2556502
Afghanistan,2014,2596270
Afghanistan,2015,2666305
Afghanistan,2016,2501445
Afghanistan,2017,2624225
